,Data Set,Algorithm,Central Prototype,Data Dimension,Center Dimension,Fold,Module Number,BSR,Size
145,salmonella_Liver,WGCNA_LBG,eigengene,1,1,2,9,1.0,757
146,salmonella_Liver,WGCNA_LBG,eigengene,1,1,2,10,1.0,1148
147,salmonella_Liver,WGCNA_LBG,eigengene,1,1,2,11,1.0,3128
148,salmonella_Liver,WGCNA_LBG,eigengene,1,1,2,12,1.0,747
149,salmonella_Liver,WGCNA_LBG,eigengene,1,1,2,13,1.0,1170
150,salmonella_Liver,WGCNA_LBG,eigengene,1,1,2,14,1.0,3399
151,salmonella_Liver,WGCNA_LBG,eigengene,1,1,2,15,0.875,992
152,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,3,0,0.75,297
153,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,3,1,0.875,821
154,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,3,2,0.875,1063
155,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,3,3,1.0,650
156,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,3,4,0.5,1257
157,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,3,5,1.0,725
158,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,3,6,0.75,848
159,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,3,7,0.75,2803
160,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,3,8,0.875,893
161,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,3,9,0.75,1131
162,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,3,10,0.875,1206
163,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,3,11,0.875,606
164,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,3,12,0.75,581
165,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,3,13,0.75,1533
166,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,3,14,0.625,630
167,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,3,15,0.75,1384
168,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,3,16,0.875,3435
169,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,3,17,0.75,566
170,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,3,18,0.875,1713
171,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,3,19,1.0,718
172,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,3,20,0.75,818
173,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,3,21,0.875,737
174,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,3,22,0.625,1205
175,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,3,23,1.0,712
176,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,0,0,0.625,1710
177,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,0,1,0.75,739
178,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,0,2,0.75,501
179,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,0,3,0.875,515
180,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,0,4,0.625,1273
181,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,0,5,0.875,391
182,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,0,6,1.0,1501
183,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,0,7,1.0,380
184,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,0,8,0.75,1997
185,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,0,9,0.25,394
186,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,0,10,1.0,1276
187,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,0,11,1.0,1086
188,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,0,12,0.75,702
189,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,0,13,0.875,797
190,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,0,14,0.625,797
191,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,0,15,0.875,852
192,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,0,16,1.0,1017
193,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,0,17,0.875,330
194,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,0,18,0.75,576
195,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,0,19,0.875,3937
196,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,0,20,0.625,567
197,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,0,21,0.75,1189
198,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,0,22,0.75,764
199,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,0,23,1.0,937
200,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,0,24,1.0,380
201,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,0,25,0.875,537
202,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,0,26,0.625,518
203,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,0,27,1.0,669
204,ebola_Liver_Lethal,WGCNA_LBG,eigengene,1,1,4,0,1.0,2370
205,ebola_Liver_Lethal,WGCNA_LBG,eigengene,1,1,4,1,1.0,1590
206,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,4,0,0.5833333333333333,636
207,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,4,1,0.5833333333333333,753
208,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,4,2,0.75,1913
