,Data Set,Center Dimension,Fold,Module Number,Explained Variance,Size
0,gse73072_hrv_48_64,1,4,16,0.22309612039662144,2614
0,gse73072_hrv_48_64,1,4,17,0.4800056665572531,948
0,gse73072_hrv_48_64,1,4,18,0.31966339420084683,70
0,gse73072_hrv_48_64,1,4,19,0.6204330687527961,530
0,gse73072_hrv_48_64,1,4,20,0.5533968853775639,226
0,gse73072_hrv_48_64,1,4,21,0.5179040006871866,428
0,gse73072_hrv_48_64,1,4,22,0.44291130021362174,452
0,gse73072_hrv_48_64,1,4,23,0.38693892856121814,128
0,gse73072_hrv_48_64,1,4,24,0.2399521694668632,174
0,gse73072_hrv_48_64,1,4,25,0.45064838516053757,494
0,gse73072_hrv_48_64,1,4,26,0.5209278112470184,576
0,gse73072_hrv_48_64,1,4,27,0.4353254383563982,724
0,gse73072_hrv_48_64,1,4,28,0.478075487429878,835
0,gse73072_hrv_48_64,1,4,29,0.25232407239959925,338
0,gse73072_hrv_48_64,1,4,30,0.3805198019917939,420
0,gse73072_hrv_48_64,1,4,31,0.37350860728642843,1215
0,gse73072_hrv_48_64,1,4,32,0.394432703160741,577
0,gse73072_hrv_48_64,1,4,33,0.5072369313881215,507
0,gse73072_hrv_48_64,1,4,34,0.23284324880392923,207
0,gse73072_hrv_48_64,1,4,35,0.6709261501418942,23
0,gse73072_hrv_48_64,1,4,36,0.5174414333819718,1373
0,gse73072_hrv_48_64,1,4,37,0.4771159416310613,735
0,gse73072_hrv_48_64,1,0,0,0.4589560639504262,509
0,gse73072_hrv_48_64,1,0,1,0.5092636987635032,1221
0,gse73072_hrv_48_64,1,0,2,0.6539984608693208,26
0,gse73072_hrv_48_64,1,0,3,0.5250169089550651,1269
0,gse73072_hrv_48_64,1,0,4,0.49878295108137816,684
0,gse73072_hrv_48_64,1,0,5,0.4784503349221555,360
0,gse73072_hrv_48_64,1,0,6,0.3686952624223729,82
0,gse73072_hrv_48_64,1,0,7,0.677501772538972,81
0,gse73072_hrv_48_64,1,0,8,0.5014912626265734,763
0,gse73072_hrv_48_64,1,0,9,0.44904452204980777,683
0,gse73072_hrv_48_64,1,0,10,0.5775742883494601,749
0,gse73072_hrv_48_64,1,0,11,0.4113624142826311,154
0,gse73072_hrv_48_64,1,0,12,0.31266252947844564,475
0,gse73072_hrv_48_64,1,0,13,0.3378823377825206,2503
0,gse73072_hrv_48_64,1,0,14,0.6132388697966904,1146
0,gse73072_hrv_48_64,1,0,15,0.2859241835761346,456
0,gse73072_hrv_48_64,1,0,16,0.5252573259431788,317
0,gse73072_hrv_48_64,1,0,17,0.4636133665135392,1458
0,gse73072_hrv_48_64,1,0,18,0.5573199768158714,574
0,gse73072_hrv_48_64,1,0,19,0.23132908521334958,975
0,gse73072_hrv_48_64,1,0,20,0.6240842883711823,763
0,gse73072_hrv_48_64,1,0,21,0.48015616503053615,561
0,gse73072_hrv_48_64,1,0,22,0.2794241242506472,173
0,gse73072_hrv_48_64,1,0,23,0.5790388628871161,696
0,gse73072_hrv_48_64,1,0,24,0.2562586199737298,276
0,gse73072_hrv_48_64,1,0,25,0.23260020287641553,81
0,gse73072_hrv_48_64,1,0,26,0.4507197968136833,789
0,gse73072_hrv_48_64,1,0,27,0.5502805973097775,431
0,gse73072_hrv_48_64,1,0,28,0.4884520057384956,778
0,gse73072_hrv_48_64,1,0,29,0.3507611102610502,698
0,gse73072_hrv_48_64,1,0,30,0.35507803984206904,923
0,gse73072_hrv_48_64,1,0,31,0.48126723909320784,808
0,gse73072_hrv_48_64,1,0,32,0.548096429509292,533
0,gse73072_hrv_48_64,1,0,33,0.5639525269826471,282
0,salmonella_Liver_tolerant,1,2,0,0.5348445976814742,817
0,salmonella_Liver_tolerant,1,2,1,0.26148349969436546,959
0,salmonella_Liver_tolerant,1,2,2,0.769425443883718,2042
