,module 2,module 11,module 16
590,Gm20531,Lrrc1,
591,Eif2c2,Ighv9-3,
592,Sept11,Gm12542,
593,Cd14,Gm14958,
594,Gm20603,Gm17344,
595,Tmem201,Gm14098,
596,Ubash3b,Kel,
597,Gramd3,Slc16a1,
598,Tbca,Gm15818,
599,Clec7a,Gm11029,
600,Acpl2,Slc29a4,
601,Tmem57,Zfp873,
602,Plod3,Ccdc147,
603,Foxo3,Igkv16-104,
604,Gm16589,Pde6a,
605,Inmt,Paip1,
606,Fem1b,Dusp16,
607,Myl2,Pkd1l3,
608,Clec12b,Serpini1,
609,Usp24,Rnf182,
610,Rs1,Mir28b,
611,1110002L01Rik,Gm8394,
612,Pik3cd,Smek1,
613,Plekhg1,Fam23a,
614,2310001H17Rik,Gm9575,
615,Nod2,Gm17498,
616,Cotl1,Spink4,
617,Pkia,Dlg2,
618,Il22,Ighv1-66,
619,Pqlc2,2310001K24Rik,
620,1200009I06Rik,Gm15980,
621,Gm15729,C1ql3,
622,Hsf4,AL589870.2,
623,Armcx2,Trim10,
624,Ly6e,Slc4a1ap,
625,Synpo2l,Cntn1,
626,Mzt2,Trbc2,
627,Trps1,Gm15401,
628,Batf,Xlr4a,
629,A930005I04Rik,Gm15482,
630,2410075B13Rik,H1fx,
631,Baz1a,Osr1,
632,Eef1d,Cacnb2,
633,Mtx3,Cngb1,
634,Ckb,Ighv14-3,
635,Tmem116,Ighv1-37,
636,Isca2,Plaa,
637,Plagl2,Egln3,
638,Klrb1b,Gm10430,
639,5430427O19Rik,Trbv20,
640,Gm17730,Traj5,
641,Zfp935,Asap2,
642,Gm16028,Rala,
643,Elmo1,Cyp2c40,
644,Mrps26,Mns1,
645,Gm8093,Igkv12-44,
646,Card9,Ighv1-82,
647,Eif3g,Gpr174,
648,Heatr3,Vmn2r84,
649,Ostm1,BC016579,
650,Gm7887,Tbrg1,
651,Rab22a,Gm14401,
652,Il12rb1,Spata9,
653,0610012G03Rik,2900002K06Rik,
654,Wdhd1,Cabin1,
655,Lilrb4,Gm15662,
656,Arhgef2,Ighv6-6,
657,P2ry12,Gm5937,
658,Tmprss9,Ccdc88c,
659,Tubb3,A930017M01Rik,
660,Ctla2b,Lpar5,
661,Wdr36,Ighv1-18,
662,6430573F11Rik,Igkc,
663,Rtp4,Lrrc39,
664,Bhlhe22,AW146020,
665,Txnl1,Hemgn,
666,Plekhm2,Il31ra,
667,Eya3,Epb4.9,
668,1810046K07Rik,Mbd4,
669,Tnks2,Ddx10,
670,Ralgds,Zfp157,
671,Tigit,2610002D18Rik,
672,Tardbp,2810429I04Rik,
673,Gm17557,Atad1,
674,Gm16286,Slc35d3,
675,1810037I17Rik,Kcnd2,
676,Cdk10,Cep72,
677,Best1,Frmd5,
678,Slc22a20,Gm16976,
679,D0H4S114,Gm17110,
680,Gpr82,Chrm1,
681,Sh3pxd2a,9830107B12Rik,
682,Gm14023,4932430I15Rik,
683,Idh3b,Mast4,
684,Gm9761,Ighv2-9,
685,Lyz1,Dcaf5,
686,Minos1,A330041J22Rik,
687,1810033B17Rik,Trav17,
688,ORF61,Gm12611,
689,Gm16144,Igkv3-9,
690,Col17a1,AC136976.1,
691,Dio3,Gata1,
692,Pbxip1,Zfp362,
693,Rg9mtd1,Cpxm1,
694,Slc45a4,Trav8d-1,
695,Gm17397,Pf4,
696,Xrcc4,Gm12306,
697,Fam49a,Igkv6-13,
698,Cdkn2a,Gm10311,
699,Cd80,Gm13586,
700,Gm16578,Uts2d,
701,Clic4,Ptpn11,
702,Gm8459,Stk38l,
703,Cnot1,Gm15024,
704,Gpr113,Pomc,
705,Zdhhc21,Ighv5-9-1,
706,Isyna1,2010110K18Rik,
707,Chrna1,Ighv1-31,
708,Reep1,Mapkbp1,
709,Nbn,Bst2,
710,Fhod3,Serpinb1a,
711,Syce2,Ighv8-12,
712,Ak8,Iglv1,
713,2310008H04Rik,Chst3,
714,Degs2,Themis,
715,Anxa3,Gm14137,
716,Csnk1e,Cdk19,
