,module 2,module 11,module 16
571,Mtx3,Gm17498,
572,Ckb,Spink4,
573,Tmem116,Icam5,
574,Isca2,Vps72,
575,Plagl2,Dlg2,
576,5430427O19Rik,Ighv1-66,
577,Zfp935,2310001K24Rik,
578,Mrps26,Gm15980,
579,Gm8093,C1ql3,
580,Card9,AL589870.2,
581,Heatr3,Trim10,
582,Ostm1,Slc4a1ap,
583,Gm7887,Cntn1,
584,Il12rb1,Trbc2,
585,Wdhd1,Gm15401,
586,Lilrb4,Xlr4a,
587,Arhgef2,Gm15482,
588,P2ry12,H1fx,
589,Tmprss9,Osr1,
590,Tubb3,Cacnb2,
591,Ctla2b,Cngb1,
592,Wdr36,Ighv14-3,
593,6430573F11Rik,Ighv1-37,
594,Rtp4,Egln3,
595,Bhlhe22,Gm10430,
596,Plekhm2,Trbv20,
597,Eya3,Traj5,
598,Tnks2,Gm11752,
599,Ralgds,Asap2,
600,Tigit,Rala,
601,Tardbp,Cyp2c40,
602,Gm17557,Mns1,
603,Gm16286,Igkv12-44,
604,1810037I17Rik,Ighv1-82,
605,Cdk10,Gpr174,
606,Best1,Vmn2r84,
607,Slc22a20,BC016579,
608,D0H4S114,Kif27,
609,Sh3pxd2a,Tbrg1,
610,Gm14023,Gm14401,
611,Lyz1,Spata9,
612,Minos1,Gm15662,
613,1810033B17Rik,Ighv6-6,
614,Gm16144,Scarna13,
615,Col17a1,Ccdc88c,
616,Dio3,A930017M01Rik,
617,Pbxip1,Ighv1-18,
618,Slc45a4,Gm13643,
619,Gm17397,Igkc,
620,Xrcc4,Lrrc39,
621,Fam49a,AW146020,
622,Cdkn2a,Hemgn,
623,Cd80,Ppm1m,
624,Gm16578,Il31ra,
625,Clic4,Mbd4,
626,Gm8459,Ddx10,
627,Cnot1,2610002D18Rik,
628,Gpr113,Atad1,
629,Zdhhc21,Slc35d3,
630,Isyna1,Denr,
631,Chrna1,Frmd5,
632,Reep1,Aqp3,
633,Nbn,Chrm1,
634,Fhod3,Fancg,
635,Syce2,9830107B12Rik,
636,Ak8,4932430I15Rik,
637,2310008H04Rik,Mast4,
638,Degs2,Ighv2-9,
639,Anxa3,A330041J22Rik,
640,Csnk1e,Npy,
641,RP24-262G23.4.1,Trav17,
642,Mcam,Gm12611,
643,Lsm14b,Igkv3-9,
644,Rfx5,AC136976.1,
645,Gm11212,Gata1,
646,C130039O16Rik,Cpxm1,
647,Tfe3,Trav8d-1,
648,Rbbp8,Pf4,
649,Timp3,Gm12306,
650,Gas1,Igkv6-13,
651,Slc15a3,Gm10311,
652,Gm17272,Gm13586,
653,Hexb,Uts2d,
654,Setd8,5930403N24Rik,
655,BC056474,Ptpn11,
656,Tmem42,Stk38l,
657,Hist1h1d,Ighv5-9-1,
658,Kcnab2,Ighv1-31,
659,Il6,Mapkbp1,
660,Syce1l,Serpinb1a,
661,Fmnl2,Ighv8-12,
662,Rps2-ps5,Iglv1,
663,Hivep1,Gm14137,
664,F830208F22Rik,Cdk19,
665,B430305J03Rik,2310043D23Rik,
666,Scn8a,Clec2i,
667,Gcn1l1,Ighv6-3,
668,Stfa2,Gm17653,
669,Parvg,Cacna1c,
670,3110043O21Rik,Ly6g6c,
671,Eif2b5,Cdv3,
672,Gm14017,Tmem40,
673,9030418K01Rik,Spata22,
674,Zswim4,Vamp7-ps,
675,Hdac10,Spna1,
676,Ptgfrn,Ift81,
677,Mll1,Gm11273,
678,BC003266,Ighv1-85,
679,Psg22,Gm17719,
680,Pkd1l2,4921525B02Rik,
681,Atp5o,N4bp2l2,
682,Aoah,Olfr755-ps1,
683,Zyx,Trbj2-1,
684,Gm15995,Igkv3-10,
685,Kif5c,Tubb1,
686,Cyba,Fam163b,
687,Lpl,4921507G05Rik,
688,Maml2,Ighv5-9,
689,Fam129b,Ighv1-42,
690,Gm15419,Ache,
691,Gm12956,Ntpcr,
692,E030024N20Rik,Ptprn2,
693,Gm16705,St8sia6,
694,Anapc7,Ighv14-1,
695,Yjefn3,9330132A10Rik,
696,Edc3,Sorbs2,
697,Fuk,Gmpr,
698,Cd86,A630072L19Rik,
699,Enc1,Zfyve28,
700,Dus4l,C530008M17Rik,
701,Gm16861,Ighv2-6-8,
702,Cd93,Gpr128,
703,Tle2,C030017K20Rik,
704,Usp20,Gm16831,
705,Gm15559,Igkv9-120,
706,Cep57l1,Prg3,
707,Trim56,Gm11953,
