,module 2,module 11,module 16
686,Best1,Lrrc39,
687,Slc22a20,AW146020,
688,Pgf,Rps3a,
689,D0H4S114,Hemgn,
690,Sh3pxd2a,Ysk4,
691,Cbx3-ps3,1110004E09Rik,
692,Gm14023,Il31ra,
693,Idh3b,Snx8,
694,Gm9761,Mbd4,
695,Lyz1,Fam78a,
696,Minos1,Zfp157,
697,1810033B17Rik,2610002D18Rik,
698,ORF61,2810429I04Rik,
699,Gm16144,Ssr2,
700,Dio3,Atad1,
701,Pbxip1,Slc35d3,
702,Rg9mtd1,Cep72,
703,Slc45a4,Frmd5,
704,Gm17397,Gm16976,
