,Data Set,Center Dimension,Fold,Module Number,Explained Variance,Size
0,gse73072_hrv_48_64,1,4,23,0.426378837140258,169
0,gse73072_hrv_48_64,1,4,24,0.2538976634806359,143
0,gse73072_hrv_48_64,1,4,25,0.47899492105874625,529
0,gse73072_hrv_48_64,1,4,26,0.5029167373742239,566
0,gse73072_hrv_48_64,1,4,27,0.44190588648917617,760
0,gse73072_hrv_48_64,1,4,28,0.47003704781668915,919
0,gse73072_hrv_48_64,1,4,29,0.3501859548500004,425
0,gse73072_hrv_48_64,1,4,30,0.36261760118768194,428
0,gse73072_hrv_48_64,1,4,31,0.3935845151365329,272
0,gse73072_hrv_48_64,1,4,32,0.3579546018805813,630
0,gse73072_hrv_48_64,1,4,33,0.5120527764681297,536
0,gse73072_hrv_48_64,1,4,34,0.22114215209874694,294
0,gse73072_hrv_48_64,1,4,35,0.5304938871035998,23
0,gse73072_hrv_48_64,1,4,36,0.5004308074303685,1392
0,gse73072_hrv_48_64,1,4,37,0.4564231764169663,800
0,gse73072_hrv_48_64_False,1,0,0,0.3843636312476653,677
0,gse73072_hrv_48_64_False,1,0,1,0.18793498986098264,150
0,gse73072_hrv_48_64_False,1,0,2,0.4342862375667964,707
0,gse73072_hrv_48_64_False,1,0,3,0.2927543512124486,553
0,gse73072_hrv_48_64_False,1,0,4,0.41162188165584723,788
0,gse73072_hrv_48_64_False,1,0,5,0.39722378748284815,531
0,gse73072_hrv_48_64_False,1,0,6,0.25041476787234324,313
0,gse73072_hrv_48_64_False,1,0,7,0.37808997605465217,1631
0,gse73072_hrv_48_64_False,1,0,8,0.5059862610374823,791
0,gse73072_hrv_48_64_False,1,0,9,0.39501552746872315,606
0,gse73072_hrv_48_64_False,1,0,10,0.5299327943839447,728
0,gse73072_hrv_48_64_False,1,0,11,0.5625917936734551,816
0,gse73072_hrv_48_64_False,1,0,12,0.6367898283122541,1273
0,gse73072_hrv_48_64_False,1,0,13,0.4173037612878162,832
0,gse73072_hrv_48_64_False,1,0,14,0.3330733035127662,394
0,gse73072_hrv_48_64_False,1,0,15,0.36215632672395726,762
0,gse73072_hrv_48_64_False,1,0,16,0.3439312492378456,881
0,gse73072_hrv_48_64_False,1,0,17,0.28310709548814517,233
0,gse73072_hrv_48_64_False,1,0,18,0.5307752849613602,809
0,gse73072_hrv_48_64_False,1,0,19,0.348630098946182,568
0,gse73072_hrv_48_64_False,1,0,20,0.19055758871751727,466
0,gse73072_hrv_48_64_False,1,0,21,0.34009613695382945,637
0,gse73072_hrv_48_64_False,1,0,22,0.6495622663405438,266
0,gse73072_hrv_48_64_False,1,0,23,0.46101830089406115,902
0,gse73072_hrv_48_64_False,1,0,24,0.1871733288516585,418
0,gse73072_hrv_48_64_False,1,0,25,0.43625688964464815,670
0,gse73072_hrv_48_64_False,1,0,26,0.46903421595166617,1334
0,gse73072_hrv_48_64_False,1,0,27,0.2964191460178297,641
0,gse73072_hrv_48_64_False,1,0,28,0.35604584033869496,573
0,gse73072_hrv_48_64_False,1,0,29,0.4651987295250741,544
0,gse73072_hrv_48_64_False,1,0,30,0.3666194177054445,668
0,gse73072_hrv_48_64_False,1,0,31,0.5668200958742713,160
0,gse73072_hrv_48_64_False,1,0,32,0.5602957034924121,233
0,gse73072_hrv_48_64_False,1,0,33,0.23150541165896762,419
0,gse73072_hrv_48_64_False,1,0,34,0.31542751327868196,303
0,gse73072_hrv_48_64,1,0,0,0.22554357315642734,194
0,gse73072_hrv_48_64,1,0,1,0.6619762811444673,29
0,gse73072_hrv_48_64,1,0,2,0.4931545897456857,401
0,gse73072_hrv_48_64,1,0,3,0.5413448929974475,522
0,gse73072_hrv_48_64,1,0,4,0.3979641755993411,144
0,gse73072_hrv_48_64,1,0,5,0.31665271566997105,751
0,gse73072_hrv_48_64,1,0,6,0.4666798999093141,842
0,gse73072_hrv_48_64,1,0,7,0.4947044643097689,637
0,gse73072_hrv_48_64,1,0,8,0.5165119577757344,738
0,gse73072_hrv_48_64,1,0,9,0.3668955888253275,525
0,gse73072_hrv_48_64,1,0,10,0.2719021322150793,3011
0,gse73072_hrv_48_64,1,0,11,0.5875104573346568,1219
0,gse73072_hrv_48_64,1,0,12,0.5363852828088652,586
0,gse73072_hrv_48_64,1,0,13,0.4971946080271612,1405
0,gse73072_hrv_48_64,1,0,14,0.42872258171046873,579
0,gse73072_hrv_48_64,1,0,15,0.4731759399249685,1597
0,gse73072_hrv_48_64,1,0,16,0.5385562313225531,251
0,gse73072_hrv_48_64,1,0,17,0.407027266486458,714
0,gse73072_hrv_48_64,1,0,18,0.3348101006601507,183
0,gse73072_hrv_48_64,1,0,19,0.2685292223375949,385
0,gse73072_hrv_48_64,1,0,20,0.35953721906743863,716
0,gse73072_hrv_48_64,1,0,21,0.47519773740717364,402
0,gse73072_hrv_48_64,1,0,22,0.6570798037997504,103
0,gse73072_hrv_48_64,1,0,23,0.4565409862009685,1046
0,gse73072_hrv_48_64,1,0,24,0.5684738741287436,726
0,gse73072_hrv_48_64,1,0,25,0.532394292369391,748
